,ltv,install_date
0,999.0,2021-04-24
1,0.0,2021-04-24
2,0.0,2021-04-09
3,1996.0,2021-04-24
4,0.0,2021-04-24
5,0.0,2021-04-24
6,0.0,2021-04-24
7,1269.0,2021-04-24
8,1172.0,2021-04-17
9,0.0,2021-04-24
10,899.0,2021-04-24
11,0.0,2021-05-17
12,0.0,2021-04-20
13,0.0,2021-04-24
14,0.0,2021-04-24
15,0.0,2021-04-24
16,678.0,2021-04-18
17,0.0,2021-05-17
18,0.0,2021-04-24
19,0.0,2021-04-24
20,0.0,2021-04-24
21,0.0,2021-04-24
22,0.0,2021-04-24
23,2238.0,2021-04-24
24,0.0,2021-04-24
25,1399.0,2021-04-24
26,0.0,2021-04-24
27,1718.0,2021-04-24
28,0.0,2021-05-16
29,1099.0,2021-03-09
30,557.05,2021-03-09
31,999.0,2021-03-09
32,0.0,2021-03-09
33,599.0,2021-02-19
34,0.0,2021-03-09
35,0.0,2021-03-09
36,0.0,2021-03-07
37,2022.0,2021-03-09
38,638.72,2021-03-09
39,4199.55,2021-04-19
40,0.0,2021-04-24
41,0.0,2021-04-24
42,1138.5,2021-04-24
43,1947.0,2021-04-24
44,0.0,2021-05-17
45,0.0,2021-04-24
46,1239.0,2021-04-24
47,0.0,2021-05-17
48,599.0,2021-04-24
49,0.0,2021-04-24
50,3576.0,2021-04-14
51,0.0,2021-04-24
52,0.0,2021-04-24
53,0.0,2021-04-24
54,0.0,2021-05-17
55,0.0,2021-05-17
56,599.0,2021-04-24
57,748.5,2021-05-17
58,0.0,2021-04-24
59,1244.1,2021-04-28
60,0.0,2021-05-31
61,1448.0,2021-06-22
62,0.0,2021-05-29
63,0.0,2021-06-22
64,2223.0,2021-06-22
65,1877.0,2021-05-31
66,709.0,2021-06-22
67,0.0,2021-06-22
68,499.0,2021-06-03
69,0.0,2021-06-03
70,99.0,2021-06-03
71,1715.0,2021-05-31
72,0.0,2021-06-02
73,199.0,2021-06-22
74,2598.0,2021-05-27
75,1047.0,2021-06-22
76,0.0,2021-06-22
77,898.0,2021-06-22
78,1275.3000000000002,2021-05-26
79,1597.0,2021-06-02
80,1399.0,2021-06-22
81,1385.25,2021-06-12
82,0.0,2021-05-17
83,0.0,2021-04-24
84,1661.4,2021-05-04
85,0.0,2021-06-22
86,796.0,2021-06-14
87,0.0,2021-06-02
88,598.0,2021-06-02
89,0.0,2021-06-22
90,0.0,2021-06-02
91,1300.14,2021-06-22
92,0.0,2021-05-17
93,0.0,2021-05-17
94,1999.0,2021-05-17
95,0.0,2021-05-30
96,599.0,2021-05-17
97,799.0,2021-04-18
98,0.0,2021-06-22
99,0.0,2021-06-12
100,728.0,2021-06-22
101,799.0,2021-06-04
102,0.0,2021-06-22
103,978.0,2021-06-02
104,1896.0,2021-06-07
105,1776.0,2021-06-07
106,0.0,2021-04-24
107,0.0,2021-04-24
108,1557.0,2021-06-05
109,598.0,2021-06-05
110,69.0,2021-05-30
111,0.0,2021-05-30
112,0.0,2021-04-16
113,0.0,2021-04-24
114,0.0,2021-04-24
115,999.0,2021-06-22
116,99.0,2021-06-05
117,849.0,2021-06-07
118,0.0,2021-04-12
119,1639.0,2021-04-24
120,0.0,2021-05-28
121,1728.0,2021-04-24
122,0.0,2021-04-24
123,398.0,2021-06-22
124,347.0,2021-05-31
125,0.0,2021-05-30
126,662.0,2021-06-05
127,0.0,2021-04-24
128,0.0,2021-04-24
129,964.0,2021-06-04
130,0.0,2021-04-24
131,0.0,2021-04-15
132,0.0,2021-04-24
133,1993.0,2021-06-06
134,0.0,2021-06-22
135,0.0,2021-06-22
136,999.0,2021-06-22
137,862.0,2021-05-29
138,0.0,2021-06-22
139,0.0,2021-06-22
140,1796.0,2021-06-05
141,0.0,2021-04-24
142,0.0,2021-06-01
143,214.0,2021-06-01
144,1199.0,2021-06-22
145,0.0,2021-06-22
146,1198.0,2021-06-15
147,0.0,2021-04-15
148,0.0,2021-06-06
149,0.0,2021-04-24
150,1407.0,2021-06-02
151,3237.75,2021-04-20
152,0.0,2021-03-09
153,299.0,2021-06-09
154,2872.0,2021-06-02
155,699.0,2021-06-06
156,1276.0,2021-06-04
157,1349.0,2021-06-22
158,308.0,2021-06-07
159,2367.0,2021-04-18
160,1359.0,2021-04-24
161,0.0,2021-06-22
162,0.0,2021-04-24
163,2624.0,2021-04-24
164,263.0,2021-05-29
165,159.0,2021-06-09
166,0.0,2021-04-15
167,2224.0,2021-06-08
168,0.0,2021-04-24
169,0.0,2021-06-08
170,1119.0,2021-06-22
171,0.0,2021-06-22
172,0.0,2021-05-29
173,609.0,2021-06-09
174,899.0,2021-06-02
175,1505.0,2021-06-09
176,6458.0,2021-04-21
177,609.0,2021-06-09
178,615.55,2021-06-20
179,1316.0,2021-06-09
180,2856.0,2021-06-09
181,99.0,2021-06-09
182,1597.0,2021-04-13
183,599.0,2021-06-20
184,368.0,2021-06-09
185,214.0,2021-06-07
186,766.0,2021-06-06
187,1557.4,2021-06-22
188,1107.0,2021-06-09
189,1120.0,2021-06-09
190,648.0,2021-04-24
191,2613.0,2021-06-09
192,2528.0,2021-04-17
193,1698.0,2021-05-28
194,199.0,2021-06-01
195,499.0,2021-06-07
196,609.0,2021-06-01
197,2117.0,2021-06-07
198,614.0,2021-05-28
199,2554.5,2021-04-24
200,709.0,2021-04-05
201,99.0,2021-06-09
202,0.0,2021-06-07
203,499.0,2021-05-28
204,0.0,2021-04-24
205,499.0,2021-06-01
206,99.0,2021-06-02
207,849.0,2021-05-28
208,1098.0,2021-04-24
209,499.0,2021-06-07
210,849.0,2021-05-30
211,0.0,2021-06-02
212,0.0,2021-05-30
213,0.0,2021-04-24
214,0.0,2021-06-22
215,678.0,2021-05-31
216,0.0,2021-03-09
217,0.0,2021-04-24
218,1407.0,2021-05-30
219,0.0,2021-04-24
220,99.0,2021-06-01
221,0.0,2021-04-24
222,2129.0,2021-04-23
223,999.0,2021-04-24
224,0.0,2021-06-22
225,299.0,2021-05-31
226,0.0,2021-06-22
227,0.0,2021-04-24
228,598.0,2021-06-05
229,1218.0,2021-06-09
230,1664.0,2021-06-09
231,0.0,2021-04-24
232,0.0,2021-04-24
233,199.0,2021-06-08
234,1207.0,2021-06-08
235,563.0,2021-04-12
236,0.0,2021-06-05
237,609.0,2021-06-08
238,0.0,2021-06-21
239,0.0,2021-03-27
240,849.0,2021-06-06
241,599.0,2021-04-24
242,0.0,2021-04-24
243,957.0,2021-06-03
244,998.0,2021-06-06
245,0.0,2021-04-24
246,0.0,2021-06-01
247,298.0,2021-06-01
248,0.0,2021-04-24
249,899.0,2021-06-22
250,999.0,2021-04-20
251,599.0,2021-04-24
252,0.0,2021-04-09
253,609.0,2021-06-06
254,0.0,2021-04-24
255,1898.0,2021-04-09
256,599.0,2021-06-22
257,599.25,2021-04-19
258,249.0,2021-06-22
259,2328.0,2021-04-24
260,609.0,2021-05-31
261,0.0,2021-05-31
262,0.0,2021-06-22
263,0.0,2021-06-01
264,628.0,2021-06-04
265,199.0,2021-05-28
266,699.0,2021-06-04
267,0.0,2021-06-03
268,499.0,2021-05-28
269,0.0,2021-05-28
270,3144.0,2021-06-08
271,499.0,2021-06-05
272,0.0,2021-06-08
273,0.0,2021-06-22
274,0.0,2021-06-22
275,708.0,2021-06-08
276,0.0,2021-06-01
277,646.0,2021-06-21
278,1697.0,2021-06-22
279,497.0,2021-06-06
280,698.0,2021-05-28
281,849.0,2021-06-08
282,99.0,2021-06-07
283,0.0,2021-06-22
284,0.0,2021-05-28
285,69.0,2021-06-06
286,198.0,2021-05-28
287,3266.16,2021-06-03
288,199.0,2021-06-04
289,0.0,2021-04-24
290,513.0,2021-05-28
291,10191.0,2021-04-23
292,0.0,2021-04-24
293,3411.2,2021-06-11
294,897.0,2021-04-23
295,398.0,2021-04-15
296,99.0,2021-05-29
297,897.0,2021-05-29
298,998.0,2021-06-05
299,0.0,2021-04-24
300,0.0,2021-06-05
301,1639.0,2021-04-23
302,0.0,2021-04-22
303,0.0,2021-06-12
304,1303.9499999999998,2021-06-22
305,694.0,2021-06-22
306,1596.0,2021-06-05
307,0.0,2021-04-24
308,0.0,2021-04-24
309,1352.0,2021-04-24
310,0.0,2021-06-03
311,0.0,2021-06-22
312,0.0,2021-04-24
313,1449.0,2021-06-05
314,0.0,2021-04-24
315,849.0,2021-06-07
316,0.0,2021-04-24
317,0.0,2021-04-24
318,5220.0,2021-04-19
319,907.0,2021-06-06
320,999.0,2021-04-24
321,0.0,2021-04-24
322,1869.0,2021-06-21
323,0.0,2021-05-28
324,129.0,2021-06-04
325,0.0,2021-04-24
326,1646.0,2021-06-06
327,499.0,2021-06-03
328,1229.3200000000002,2021-06-22
329,4556.75,2021-06-22
330,0.0,2021-06-22
331,799.0,2021-06-22
332,1540.05,2021-06-03
333,599.0,2021-06-22
334,2719.0,2021-06-21
335,2069.0,2021-06-22
336,799.0,2021-04-24
337,1098.0,2021-06-01
338,115.0,2021-06-03
339,0.0,2021-04-24
340,69.0,2021-06-02
341,214.0,2021-06-03
342,1348.0,2021-06-03
343,198.0,2021-06-01
344,49.0,2021-06-01
345,1112.0,2021-06-03
346,1856.0,2021-05-29
347,699.0,2021-06-01
348,849.0,2021-05-29
349,0.0,2021-06-22
350,499.0,2021-06-08
351,3999.0,2021-06-22
352,99.0,2021-06-08
353,0.0,2021-06-08
354,2697.0,2021-06-15
355,0.0,2021-03-09
356,799.0,2021-04-24
357,0.0,2021-04-23
358,0.0,2021-04-24
359,0.0,2021-04-24
360,0.0,2021-06-22
361,1009.0,2021-06-18
362,0.0,2021-06-22
363,799.0,2021-06-18
